width,height,area,success,coverage,stepsUsed,ratio
1,1,1,true,1,1,1.0
1,2,2,true,2,2,1.0
2,1,2,true,2,1,0.5
1,3,3,true,3,4,1.3333333333333333
3,1,3,true,3,3,1.0
1,4,4,true,4,7,1.75
4,1,4,true,4,5,1.25
1,5,5,true,5,9,1.8
5,1,5,true,5,6,1.2
1,6,6,true,6,10,1.6666666666666667
6,1,6,true,6,8,1.3333333333333333
1,7,7,true,7,14,2.0
7,1,7,true,7,11,1.5714285714285714
1,8,8,true,8,16,2.0
8,1,8,true,8,12,1.5
1,9,9,true,9,17,1.8888888888888888
9,1,9,true,9,13,1.4444444444444444
1,10,10,true,10,18,1.8
10,1,10,true,10,15,1.5
1,11,11,true,11,24,2.1818181818181817
11,1,11,true,11,19,1.7272727272727273
1,12,12,true,12,26,2.1666666666666665
12,1,12,true,12,20,1.6666666666666667
1,13,13,true,13,27,2.076923076923077
13,1,13,true,13,21,1.6153846153846154
1,14,14,true,14,28,2.0
14,1,14,true,14,22,1.5714285714285714
1,15,15,true,15,29,1.9333333333333333
15,1,15,true,15,23,1.5333333333333334
1,16,16,true,16,30,1.875
16,1,16,true,16,25,1.5625
1,17,17,true,17,38,2.235294117647059
17,1,17,true,17,31,1.8235294117647058
1,18,18,true,18,40,2.2222222222222223
18,1,18,true,18,32,1.7777777777777777
1,19,19,true,19,41,2.1578947368421053
19,1,19,true,19,33,1.736842105263158
1,20,20,true,20,42,2.1
20,1,20,true,20,34,1.7
1,21,21,true,21,43,2.0476190476190474
21,1,21,true,21,35,1.6666666666666667
1,22,22,true,22,44,2.0
22,1,22,true,22,36,1.6363636363636365
1,23,23,true,23,45,1.9565217391304348
23,1,23,true,23,37,1.608695652173913
1,24,24,true,24,46,1.9166666666666667
24,1,24,true,24,39,1.625
1,25,25,true,25,58,2.32
25,1,25,true,25,47,1.88
1,26,26,true,26,60,2.3076923076923075
26,1,26,true,26,48,1.8461538461538463
1,27,27,true,27,61,2.259259259259259
27,1,27,true,27,49,1.8148148148148149
1,28,28,true,28,62,2.2142857142857144
28,1,28,true,28,50,1.7857142857142858
1,29,29,true,29,63,2.1724137931034484
29,1,29,true,29,51,1.7586206896551724
1,30,30,true,30,64,2.1333333333333333
30,1,30,true,30,52,1.7333333333333334
1,31,31,true,31,65,2.096774193548387
31,1,31,true,31,53,1.7096774193548387
1,32,32,true,32,66,2.0625
32,1,32,true,32,54,1.6875
1,33,33,true,33,67,2.0303030303030303
33,1,33,true,33,55,1.6666666666666667
1,34,34,true,34,68,2.0
34,1,34,true,34,56,1.6470588235294117
1,35,35,true,35,69,1.9714285714285715
35,1,35,true,35,57,1.6285714285714286
1,36,36,true,36,70,1.9444444444444444
36,1,36,true,36,59,1.6388888888888888
1,37,37,true,37,84,2.27027027027027
37,1,37,true,37,71,1.9189189189189189
1,38,38,true,38,86,2.263157894736842
38,1,38,true,38,72,1.894736842105263
1,39,39,true,39,87,2.230769230769231
39,1,39,true,39,73,1.8717948717948718
1,40,40,true,40,88,2.2
40,1,40,true,40,74,1.85
1,41,41,true,41,89,2.1707317073170733
41,1,41,true,41,75,1.829268292682927
1,42,42,true,42,90,2.142857142857143
42,1,42,true,42,76,1.8095238095238095
1,43,43,true,43,91,2.116279069767442
43,1,43,true,43,77,1.7906976744186047
1,44,44,true,44,92,2.090909090909091
44,1,44,true,44,78,1.7727272727272727
1,45,45,true,45,93,2.066666666666667
45,1,45,true,45,79,1.7555555555555555
1,46,46,true,46,94,2.0434782608695654
46,1,46,true,46,80,1.7391304347826086
1,47,47,true,47,95,2.021276595744681
47,1,47,true,47,81,1.7234042553191489
1,48,48,true,48,96,2.0
48,1,48,true,48,82,1.7083333333333333
1,49,49,true,49,97,1.9795918367346939
49,1,49,true,49,83,1.6938775510204083
1,50,50,true,50,98,1.96
50,1,50,true,50,85,1.7
1,51,51,true,51,104,2.0392156862745097
51,1,51,true,51,99,1.9411764705882353
1,52,52,true,52,106,2.0384615384615383
52,1,52,true,52,100,1.9230769230769231
1,53,53,true,53,107,2.018867924528302
53,1,53,true,53,101,1.9056603773584906
1,54,54,true,54,108,2.0
54,1,54,true,54,102,1.8888888888888888
1,55,55,true,55,109,1.981818181818182
55,1,55,true,55,103,1.8727272727272728
1,56,56,true,56,110,1.9642857142857142
56,1,56,true,56,105,1.875
1,57,57,true,57,128,2.245614035087719
57,1,57,true,57,111,1.9473684210526316
1,58,58,true,58,130,2.2413793103448274
58,1,58,true,58,112,1.9310344827586208
1,59,59,true,59,131,2.2203389830508473
59,1,59,true,59,113,1.9152542372881356
1,60,60,true,60,132,2.2
60,1,60,true,60,114,1.9
1,61,61,true,61,133,2.180327868852459
61,1,61,true,61,115,1.8852459016393444
1,62,62,true,62,134,2.161290322580645
62,1,62,true,62,116,1.8709677419354838
1,63,63,true,63,135,2.142857142857143
63,1,63,true,63,117,1.8571428571428572
1,64,64,true,64,136,2.125
64,1,64,true,64,118,1.84375
1,65,65,true,65,137,2.1076923076923078
65,1,65,true,65,119,1.8307692307692307
1,66,66,true,66,138,2.090909090909091
66,1,66,true,66,120,1.8181818181818181
1,67,67,true,67,139,2.074626865671642
67,1,67,true,67,121,1.8059701492537314
1,68,68,true,68,140,2.0588235294117645
68,1,68,true,68,122,1.7941176470588236
1,69,69,true,69,141,2.0434782608695654
69,1,69,true,69,123,1.7826086956521738
1,70,70,true,70,142,2.0285714285714285
70,1,70,true,70,124,1.7714285714285714
1,71,71,true,71,143,2.0140845070422535
71,1,71,true,71,125,1.7605633802816902
1,72,72,true,72,144,2.0
72,1,72,true,72,126,1.75
1,73,73,true,73,145,1.9863013698630136
73,1,73,true,73,127,1.7397260273972603
1,74,74,true,74,146,1.972972972972973
74,1,74,true,74,129,1.7432432432432432
1,75,75,true,75,166,2.2133333333333334
75,1,75,true,75,147,1.96
1,76,76,true,76,168,2.210526315789474
76,1,76,true,76,148,1.9473684210526316
1,77,77,true,77,169,2.1948051948051948
77,1,77,true,77,149,1.9350649350649352
1,78,78,true,78,170,2.1794871794871793
78,1,78,true,78,150,1.9230769230769231
1,79,79,true,79,171,2.1645569620253164
79,1,79,true,79,151,1.9113924050632911
1,80,80,true,80,172,2.15
80,1,80,true,80,152,1.9
1,81,81,true,81,173,2.1358024691358026
81,1,81,true,81,153,1.8888888888888888
1,82,82,true,82,174,2.1219512195121952
82,1,82,true,82,154,1.8780487804878048
1,83,83,true,83,175,2.108433734939759
83,1,83,true,83,155,1.8674698795180722
1,84,84,true,84,176,2.0952380952380953
84,1,84,true,84,156,1.8571428571428572
1,85,85,true,85,177,2.0823529411764707
85,1,85,true,85,157,1.8470588235294119
1,86,86,true,86,178,2.0697674418604652
86,1,86,true,86,158,1.8372093023255813
1,87,87,true,87,179,2.057471264367816
87,1,87,true,87,159,1.8275862068965518
1,88,88,true,88,180,2.0454545454545454
88,1,88,true,88,160,1.8181818181818181
1,89,89,true,89,181,2.033707865168539
89,1,89,true,89,161,1.8089887640449438
1,90,90,true,90,182,2.022222222222222
90,1,90,true,90,162,1.8
1,91,91,true,91,183,2.010989010989011
91,1,91,true,91,163,1.7912087912087913
1,92,92,true,92,184,2.0
92,1,92,true,92,164,1.7826086956521738
1,93,93,true,93,185,1.989247311827957
93,1,93,true,93,165,1.7741935483870968
1,94,94,true,94,186,1.9787234042553192
94,1,94,true,94,167,1.7765957446808511
1,95,95,true,95,210,2.210526315789474
95,1,95,true,95,187,1.9684210526315788
1,96,96,true,96,212,2.2083333333333335
96,1,96,true,96,188,1.9583333333333333
1,97,97,true,97,213,2.195876288659794
97,1,97,true,97,189,1.9484536082474226
1,98,98,true,98,214,2.183673469387755
98,1,98,true,98,190,1.9387755102040816
1,99,99,true,99,215,2.1717171717171717
99,1,99,true,99,191,1.9292929292929293
1,100,100,true,100,216,2.16
100,1,100,true,100,192,1.92
