width,height,area,success,coverage,stepsUsed,ratio
1,1,1,true,1,0,0.0
1,2,2,true,2,2,1.0
2,1,2,true,2,1,0.5
1,3,3,true,3,5,1.6666666666666667
3,1,3,true,3,3,1.0
1,4,4,true,4,9,2.25
4,1,4,true,4,4,1.0
1,5,5,true,5,15,3.0
5,1,5,true,5,6,1.2
1,6,6,true,6,23,3.8333333333333335
6,1,6,true,6,7,1.1666666666666667
1,7,7,true,7,35,5.0
7,1,7,true,7,8,1.1428571428571428
1,8,8,true,8,49,6.125
8,1,8,true,8,10,1.25
1,9,9,true,9,55,6.111111111111111
9,1,9,true,9,11,1.2222222222222223
1,10,10,true,10,73,7.3
10,1,10,true,10,12,1.2
1,11,11,true,11,93,8.454545454545455
11,1,11,true,11,13,1.1818181818181819
1,12,12,true,12,117,9.75
12,1,12,true,12,14,1.1666666666666667
1,13,13,true,13,121,9.307692307692308
13,1,13,true,13,16,1.2307692307692308
1,14,14,true,14,151,10.785714285714286
14,1,14,true,14,17,1.2142857142857142
1,15,15,true,15,183,12.2
15,1,15,true,15,18,1.2
1,16,16,true,16,221,13.8125
16,1,16,true,16,19,1.1875
1,17,17,true,17,223,13.117647058823529
17,1,17,true,17,20,1.1764705882352942
1,18,18,true,18,226,12.555555555555555
18,1,18,true,18,21,1.1666666666666667
1,19,19,true,19,230,12.105263157894736
19,1,19,true,19,22,1.1578947368421053
1,20,20,true,20,236,11.8
20,1,20,true,20,24,1.2
1,21,21,true,21,244,11.619047619047619
21,1,21,true,21,25,1.1904761904761905
1,22,22,true,22,256,11.636363636363637
22,1,22,true,22,26,1.1818181818181819
1,23,23,true,23,270,11.73913043478261
23,1,23,true,23,27,1.173913043478261
1,24,24,true,24,276,11.5
24,1,24,true,24,28,1.1666666666666667
1,25,25,true,25,294,11.76
25,1,25,true,25,29,1.16
1,26,26,true,26,314,12.076923076923077
26,1,26,true,26,30,1.1538461538461537
1,27,27,true,27,338,12.518518518518519
27,1,27,true,27,31,1.1481481481481481
1,28,28,true,28,342,12.214285714285714
28,1,28,true,28,32,1.1428571428571428
1,29,29,true,29,372,12.827586206896552
29,1,29,true,29,33,1.1379310344827587
1,30,30,true,30,404,13.466666666666667
30,1,30,true,30,34,1.1333333333333333
1,31,31,true,31,442,14.258064516129032
31,1,31,true,31,36,1.1612903225806452
1,32,32,true,32,444,13.875
32,1,32,true,32,37,1.15625
1,33,33,true,33,447,13.545454545454545
33,1,33,true,33,38,1.1515151515151516
1,34,34,true,34,451,13.264705882352942
34,1,34,true,34,39,1.1470588235294117
1,35,35,true,35,457,13.057142857142857
35,1,35,true,35,40,1.1428571428571428
1,36,36,true,36,465,12.916666666666666
36,1,36,true,36,41,1.1388888888888888
1,37,37,true,37,477,12.891891891891891
37,1,37,true,37,42,1.135135135135135
1,38,38,true,38,491,12.921052631578947
38,1,38,true,38,43,1.131578947368421
1,39,39,true,39,497,12.743589743589743
39,1,39,true,39,44,1.1282051282051282
1,40,40,true,40,515,12.875
40,1,40,true,40,45,1.125
1,41,41,true,41,535,13.048780487804878
41,1,41,true,41,46,1.1219512195121952
1,42,42,true,42,559,13.30952380952381
42,1,42,true,42,47,1.119047619047619
1,43,43,true,43,563,13.093023255813954
43,1,43,true,43,48,1.1162790697674418
1,44,44,true,44,593,13.477272727272727
44,1,44,true,44,50,1.1363636363636365
1,45,45,true,45,625,13.88888888888889
45,1,45,true,45,51,1.1333333333333333
1,46,46,true,46,663,14.41304347826087
46,1,46,true,46,52,1.1304347826086956
1,47,47,true,47,665,14.148936170212766
47,1,47,true,47,53,1.127659574468085
1,48,48,true,48,668,13.916666666666666
48,1,48,true,48,54,1.125
1,49,49,true,49,672,13.714285714285714
49,1,49,true,49,56,1.1428571428571428
1,50,50,true,50,678,13.56
50,1,50,true,50,57,1.14
1,51,51,true,51,686,13.450980392156863
51,1,51,true,51,58,1.1372549019607843
1,52,52,true,52,698,13.423076923076923
52,1,52,true,52,59,1.1346153846153846
1,53,53,true,53,712,13.433962264150944
53,1,53,true,53,60,1.1320754716981132
1,54,54,true,54,718,13.296296296296296
54,1,54,true,54,61,1.1296296296296295
1,55,55,true,55,736,13.381818181818181
55,1,55,true,55,62,1.1272727272727272
1,56,56,true,56,756,13.5
56,1,56,true,56,63,1.125
1,57,57,true,57,780,13.68421052631579
57,1,57,true,57,64,1.1228070175438596
1,58,58,true,58,784,13.517241379310345
58,1,58,true,58,65,1.1206896551724137
1,59,59,true,59,814,13.796610169491526
59,1,59,true,59,66,1.11864406779661
1,60,60,true,60,846,14.1
60,1,60,true,60,67,1.1166666666666667
1,61,61,true,61,884,14.491803278688524
61,1,61,true,61,68,1.1147540983606556
1,62,62,true,62,886,14.290322580645162
62,1,62,true,62,69,1.1129032258064515
1,63,63,true,63,889,14.11111111111111
63,1,63,true,63,70,1.1111111111111112
1,64,64,true,64,893,13.953125
64,1,64,true,64,71,1.109375
1,65,65,true,65,899,13.830769230769231
65,1,65,true,65,72,1.1076923076923078
1,66,66,true,66,907,13.742424242424242
66,1,66,true,66,74,1.121212121212121
1,67,67,true,67,919,13.716417910447761
67,1,67,true,67,75,1.1194029850746268
1,68,68,true,68,933,13.720588235294118
68,1,68,true,68,76,1.1176470588235294
1,69,69,true,69,939,13.608695652173912
69,1,69,true,69,77,1.1159420289855073
1,70,70,true,70,957,13.67142857142857
70,1,70,true,70,78,1.1142857142857143
1,71,71,true,71,977,13.76056338028169
71,1,71,true,71,79,1.1126760563380282
1,72,72,true,72,1001,13.902777777777779
72,1,72,true,72,80,1.1111111111111112
1,73,73,true,73,1005,13.767123287671232
73,1,73,true,73,81,1.1095890410958904
1,74,74,true,74,1035,13.986486486486486
74,1,74,true,74,82,1.1081081081081081
1,75,75,true,75,1067,14.226666666666667
75,1,75,true,75,83,1.1066666666666667
1,76,76,true,76,1105,14.539473684210526
76,1,76,true,76,84,1.105263157894737
1,77,77,true,77,1107,14.376623376623376
77,1,77,true,77,85,1.103896103896104
1,78,78,true,78,1110,14.23076923076923
78,1,78,true,78,86,1.1025641025641026
1,79,79,true,79,1114,14.10126582278481
79,1,79,true,79,87,1.1012658227848102
1,80,80,true,80,1120,14.0
80,1,80,true,80,88,1.1
1,81,81,true,81,1128,13.925925925925926
81,1,81,true,81,89,1.0987654320987654
1,82,82,true,82,1140,13.902439024390244
82,1,82,true,82,90,1.0975609756097562
1,83,83,true,83,1154,13.903614457831326
83,1,83,true,83,91,1.0963855421686748
1,84,84,true,84,1160,13.80952380952381
84,1,84,true,84,92,1.0952380952380953
1,85,85,true,85,1178,13.858823529411765
85,1,85,true,85,94,1.1058823529411765
1,86,86,true,86,1198,13.930232558139535
86,1,86,true,86,95,1.1046511627906976
1,87,87,true,87,1222,14.045977011494253
87,1,87,true,87,96,1.103448275862069
1,88,88,true,88,1226,13.931818181818182
88,1,88,true,88,97,1.1022727272727273
1,89,89,true,89,1256,14.112359550561798
89,1,89,true,89,98,1.101123595505618
1,90,90,true,90,1288,14.311111111111112
90,1,90,true,90,99,1.1
1,91,91,true,91,1326,14.571428571428571
91,1,91,true,91,100,1.098901098901099
